id,time,Simulation_reset
13.0,23.400000000000002,
14.0,23.400000000000002,
15.0,23.400000000000002,
16.0,23.400000000000002,
17.0,23.400000000000002,
18.0,23.400000000000002,
19.0,23.400000000000002,
20.0,23.400000000000002,
21.0,23.400000000000002,
22.0,23.400000000000002,
23.0,23.400000000000002,
24.0,23.400000000000002,
25.0,23.400000000000002,
26.0,23.400000000000002,
27.0,23.400000000000002,
28.0,23.400000000000002,
29.0,23.400000000000002,
30.0,23.400000000000002,
31.0,23.400000000000002,
32.0,23.400000000000002,
7.0,36.7,
8.0,36.7,
13.0,38.2,
14.0,38.2,
15.0,38.2,
16.0,38.2,
17.0,38.2,
18.0,38.2,
19.0,38.2,
20.0,38.2,
21.0,38.2,
22.0,38.2,
23.0,38.2,
24.0,38.2,
25.0,38.2,
26.0,38.2,
27.0,38.2,
28.0,38.2,
29.0,38.2,
30.0,38.2,
31.0,38.2,
32.0,38.2,
13.0,53.0,
14.0,53.0,
15.0,53.0,
16.0,53.0,
17.0,53.0,
18.0,53.0,
19.0,53.0,
20.0,53.0,
21.0,53.0,
22.0,53.0,
23.0,53.0,
24.0,53.0,
25.0,53.0,
26.0,53.0,
27.0,53.0,
28.0,53.0,
29.0,53.0,
30.0,53.0,
31.0,53.0,
32.0,53.0,
7.0,53.5,
8.0,53.5,
13.0,67.9,
14.0,67.9,
15.0,67.9,
16.0,67.9,
17.0,67.9,
18.0,67.9,
19.0,67.9,
20.0,67.9,
21.0,67.9,
22.0,67.9,
23.0,67.9,
24.0,67.9,
25.0,67.9,
26.0,67.9,
27.0,67.9,
28.0,67.9,
29.0,67.9,
30.0,67.9,
31.0,67.9,
32.0,67.9,
7.0,69.7,
8.0,69.7,
13.0,82.7,
14.0,82.7,
15.0,82.7,
16.0,82.7,
17.0,82.7,
18.0,82.7,
19.0,82.7,
20.0,82.7,
21.0,82.7,
22.0,82.7,
23.0,82.8,
24.0,82.8,
25.0,82.8,
26.0,82.8,
27.0,82.8,
28.0,82.8,
29.0,82.8,
30.0,82.8,
31.0,82.8,
32.0,82.8,
7.0,85.7,
8.0,85.7,
35.0,96.3,
39.0,96.3,
43.0,96.3,
45.0,96.3,
50.0,96.3,
13.0,97.9,
14.0,97.9,
15.0,97.9,
16.0,97.9,
17.0,97.9,
18.0,97.9,
19.0,97.9,
20.0,97.9,
21.0,97.9,
22.0,97.9,
33.0,100.10000000000001,
37.0,100.10000000000001,
46.0,100.10000000000001,
49.0,100.10000000000001,
51.0,100.10000000000001,
8.0,101.60000000000001,
7.0,102.9,
34.0,104.60000000000001,
38.0,104.60000000000001,
52.0,104.9,
41.0,110.10000000000001,
42.0,110.10000000000001,
47.0,110.9,
48.0,110.9,
13.0,114.9,
14.0,114.9,
15.0,114.9,
16.0,114.9,
17.0,114.9,
18.0,114.9,
19.0,114.9,
20.0,114.9,
21.0,114.9,
22.0,114.9,
40.0,117.2,
8.0,118.10000000000001,
44.0,119.10000000000001,
35.0,124.8,
39.0,124.8,
36.0,126.60000000000001,
43.0,127.0,
45.0,127.0,
50.0,127.0,
33.0,129.7,
37.0,129.7,
13.0,131.1,
14.0,131.1,
15.0,131.1,
16.0,131.1,
17.0,131.1,
18.0,131.1,
19.0,131.1,
20.0,131.1,
21.0,131.1,
22.0,131.1,
46.0,132.8,
49.0,132.8,
51.0,132.8,
8.0,134.6,
34.0,135.5,
38.0,135.5,
52.0,140.3,
41.0,142.6,
42.0,142.6,
13.0,146.70000000000002,
14.0,146.70000000000002,
15.0,146.70000000000002,
16.0,146.70000000000002,
17.0,146.70000000000002,
18.0,146.70000000000002,
19.0,146.70000000000002,
20.0,146.70000000000002,
21.0,146.70000000000002,
22.0,146.70000000000002,
35.0,148.0,
39.0,148.0,
47.0,150.0,
48.0,150.0,
8.0,150.8,
40.0,151.8,
33.0,153.8,
37.0,153.8,
43.0,155.20000000000002,
45.0,155.20000000000002,
50.0,155.20000000000002,
34.0,160.70000000000002,
38.0,160.70000000000002,
13.0,163.3,
14.0,163.3,
15.0,163.3,
16.0,163.3,
17.0,163.3,
18.0,163.3,
19.0,163.3,
20.0,163.3,
21.0,163.3,
22.0,163.3,
46.0,163.3,
49.0,163.3,
51.0,163.3,
36.0,163.9,
44.0,164.0,
8.0,167.3,
35.0,168.8,
39.0,168.8,
41.0,169.1,
42.0,169.1,
52.0,174.0,
33.0,175.3,
37.0,175.3,
11.0,178.4,
40.0,179.9,
13.0,181.70000000000002,
14.0,181.70000000000002,
15.0,181.70000000000002,
16.0,181.70000000000002,
17.0,181.70000000000002,
18.0,181.70000000000002,
19.0,181.70000000000002,
20.0,181.70000000000002,
21.0,181.70000000000002,
22.0,181.70000000000002,
34.0,183.20000000000002,
38.0,183.20000000000002,
43.0,183.5,
45.0,183.5,
50.0,183.5,
8.0,184.6,
35.0,188.20000000000002,
39.0,188.20000000000002,
47.0,188.6,
48.0,188.6,
41.0,192.8,
42.0,192.8,
36.0,194.4,
46.0,194.5,
49.0,194.5,
51.0,194.5,
33.0,195.4,
37.0,195.4,
10.0,202.1,
8.0,202.9,
13.0,203.0,
14.0,203.0,
15.0,203.0,
16.0,203.0,
17.0,203.0,
18.0,203.0,
19.0,203.0,
20.0,203.0,
21.0,203.0,
22.0,203.0,
34.0,204.3,
38.0,204.3,
40.0,205.20000000000002,
35.0,206.70000000000002,
39.0,206.70000000000002,
52.0,209.6,
44.0,211.4,
43.0,213.4,
45.0,213.4,
50.0,213.4,
33.0,214.6,
37.0,214.6,
41.0,215.0,
42.0,215.0,
8.0,220.6,
13.0,222.1,
14.0,222.1,
15.0,222.1,
16.0,222.1,
17.0,222.1,
18.0,222.1,
19.0,222.1,
20.0,222.1,
21.0,222.1,
22.0,222.1,
36.0,222.1,
34.0,224.5,
38.0,224.5,
35.0,224.70000000000002,
39.0,224.70000000000002,
46.0,228.5,
49.0,228.5,
51.0,228.5,
40.0,229.1,
11.0,231.70000000000002,
47.0,231.8,
48.0,231.8,
33.0,233.20000000000002,
37.0,233.20000000000002,
41.0,236.3,
42.0,236.3,
8.0,237.5,
13.0,241.6,
14.0,241.6,
15.0,241.6,
16.0,241.6,
17.0,241.6,
18.0,241.6,
19.0,241.6,
20.0,241.6,
